station_sid,record_t,weekday,wx,t,at,beaufort,wind_dir,rh,pop,ci
6300300,2017-08-24 09:00,四,多雲,32,37,<=1,西北風,73%,20%,悶熱
6300300,2017-08-24 12:00,四,午後短暫雷陣雨,35,39,2,偏西風,60%,30%,悶熱
6300300,2017-08-24 15:00,四,午後短暫雷陣雨,34,37,2,西北風,66%,30%,悶熱
6300300,2017-08-24 18:00,四,多雲,32,37,2,西北風,80%,10%,悶熱
6300300,2017-08-24 21:00,四,多雲,30,36,<=1,偏南風,85%,10%,悶熱
6300300,2017-08-25 00:00,五,多雲,30,35,<=1,西北風,89%,10%,悶熱
6300300,2017-08-25 03:00,五,多雲,29,34,<=1,偏南風,92%,10%,悶熱
6300300,2017-08-25 06:00,五,晴天,28,33,<=1,偏東風,88%,20%,悶熱
6300300,2017-08-25 09:00,五,晴天,32,36,2,偏東風,68%,20%,悶熱
6300300,2017-08-25 12:00,五,午後短暫雷陣雨,35,40,2,偏東風,60%,30%,悶熱
6300300,2017-08-25 15:00,五,午後短暫雷陣雨,34,39,<=1,偏東風,67%,30%,悶熱
6300300,2017-08-25 18:00,五,晴天,32,37,<=1,偏南風,72%,10%,悶熱
6300300,2017-08-25 21:00,五,多雲,31,36,<=1,西南風,87%,10%,悶熱
6300300,2017-08-26 00:00,六,陰天,30,35,<=1,東南風,93%,10%,悶熱
6300300,2017-08-26 03:00,六,陰天,29,35,<=1,西北風,94%,10%,悶熱
6300300,2017-08-26 06:00,六,陰天,28,33,<=1,西南風,88%,0%,悶熱
6300300,2017-08-26 09:00,六,陰天,32,36,2,偏北風,67%,0%,悶熱
