station_sid,record_t,weekday,wx,t,at,beaufort,wind_dir,rh,pop,ci
6300300,2017-08-23 12:00,三,午後短暫雷陣雨,35,42,2,西南風,80%,30%,易中暑
6300300,2017-08-23 15:00,三,多雲,34,40,2,西南風,74%,30%,易中暑
6300300,2017-08-23 18:00,三,短暫陣雨,32,38,<=1,偏南風,82%,30%,悶熱
6300300,2017-08-23 21:00,三,短暫陣雨,31,36,2,偏東風,87%,30%,悶熱
6300300,2017-08-24 00:00,四,多雲,30,35,<=1,偏東風,91%,10%,悶熱
6300300,2017-08-24 03:00,四,多雲,29,34,<=1,偏東風,93%,10%,悶熱
6300300,2017-08-24 06:00,四,多雲,28,33,<=1,偏東風,89%,20%,悶熱
6300300,2017-08-24 09:00,四,多雲,32,36,<=1,東北風,70%,20%,悶熱
6300300,2017-08-24 12:00,四,午後短暫雷陣雨,35,41,2,偏西風,80%,30%,易中暑
6300300,2017-08-24 15:00,四,午後短暫雷陣雨,34,40,<=1,偏西風,80%,30%,易中暑
6300300,2017-08-24 18:00,四,短暫陣雨,32,37,<=1,東北風,80%,30%,悶熱
6300300,2017-08-24 21:00,四,多雲,31,36,<=1,西北風,85%,30%,悶熱
6300300,2017-08-25 00:00,五,多雲,30,35,<=1,西南風,88%,10%,悶熱
6300300,2017-08-25 03:00,五,多雲,29,34,<=1,西南風,90%,10%,悶熱
6300300,2017-08-25 06:00,五,晴天,28,33,<=1,西南風,86%,10%,悶熱
6300300,2017-08-25 09:00,五,晴天,32,37,2,偏南風,75%,10%,悶熱
6300300,2017-08-25 12:00,五,午後短暫雷陣雨,35,42,2,東南風,80%,30%,易中暑
