,record_t,weekday,weather,temperature,apparent_t,beaufort,wind_dir,rh,pop,ci
1,2017-08-22T18:00+08:00,二,短暫陣雨或雷雨,32,33,5,東南風,69%,30%,悶熱
2,2017-08-22T21:00+08:00,二,短暫陣雨或雷雨,31,29,5,東南風,61%,30%,悶熱
3,2017-08-23T00:00+08:00,三,多雲,30,30,4,東南風,65%,10%,悶熱
4,2017-08-23T03:00+08:00,三,多雲,29,31,3,東南風,69%,10%,舒適
5,2017-08-23T06:00+08:00,三,多雲,29,31,3,偏東風,66%,30%,舒適
6,2017-08-23T09:00+08:00,三,短暫陣雨或雷雨,33,36,2,東南風,56%,30%,悶熱
7,2017-08-23T12:00+08:00,三,短暫陣雨或雷雨,36,39,2,東南風,53%,30%,悶熱
8,2017-08-23T15:00+08:00,三,多雲,35,40,2,東南風,71%,30%,悶熱
9,2017-08-23T18:00+08:00,三,短暫陣雨或雷雨,33,38,2,偏南風,76%,30%,悶熱
10,2017-08-23T21:00+08:00,三,短暫陣雨或雷雨,31,35,2,東南風,72%,30%,悶熱
11,2017-08-24T00:00+08:00,四,多雲,30,33,2,東南風,67%,10%,悶熱
12,2017-08-24T03:00+08:00,四,多雲,29,33,2,東南風,72%,10%,舒適
13,2017-08-24T06:00+08:00,四,多雲,29,32,2,東南風,72%,20%,舒適
14,2017-08-24T09:00+08:00,四,多雲,32,35,2,東南風,60%,20%,悶熱
15,2017-08-24T12:00+08:00,四,午後短暫雷陣雨,35,38,2,東南風,56%,30%,悶熱
16,2017-08-24T15:00+08:00,四,午後短暫雷陣雨,34,38,2,東南風,74%,30%,悶熱
17,2017-08-24T18:00+08:00,四,短暫陣雨,32,35,2,東南風,67%,30%,悶熱
