,record_t,weekday,wx,t,at,beaufort,wind_dir,rh,pop,ci
1,2017-08-22 21:00,二,短暫陣雨或雷雨,31,29,5,東南風,61%,30%,悶熱
2,2017-08-23 00:00,三,多雲,30,31,3,東南風,65%,10%,悶熱
3,2017-08-23 03:00,三,多雲,29,33,<=1,東南風,69%,10%,舒適
4,2017-08-23 06:00,三,多雲,29,31,2,東南風,66%,30%,舒適
5,2017-08-23 09:00,三,短暫陣雨,32,35,2,偏南風,56%,30%,悶熱
6,2017-08-23 12:00,三,午後短暫雷陣雨,35,39,2,西南風,53%,30%,悶熱
7,2017-08-23 15:00,三,多雲,34,39,2,西南風,71%,30%,悶熱
8,2017-08-23 18:00,三,短暫陣雨,32,37,<=1,偏南風,76%,30%,悶熱
9,2017-08-23 21:00,三,短暫陣雨,31,34,2,偏東風,72%,30%,悶熱
10,2017-08-24 00:00,四,多雲,30,33,<=1,偏東風,67%,10%,悶熱
11,2017-08-24 03:00,四,多雲,29,33,<=1,偏東風,72%,10%,舒適
12,2017-08-24 06:00,四,多雲,28,32,<=1,偏東風,72%,20%,舒適
13,2017-08-24 09:00,四,多雲,32,35,<=1,東北風,60%,20%,悶熱
14,2017-08-24 12:00,四,午後短暫雷陣雨,35,38,2,偏西風,56%,30%,悶熱
15,2017-08-24 15:00,四,午後短暫雷陣雨,34,40,<=1,偏西風,74%,30%,悶熱
16,2017-08-24 18:00,四,短暫陣雨,32,36,<=1,東北風,67%,30%,悶熱
17,2017-08-24 21:00,四,多雲,31,34,<=1,西北風,67%,30%,悶熱
